ID,species,std_length
TABQ-19-XI-22_Xmul_55_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,32.612
TABQ-19-XI-22_Xmul_107_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,28.982
TABQ-19-XI-22_Xmul_47_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,19.023
TABQ-19-XI-22-Xmul-130-M.R1.fastq.pseudohap.txt_trim,X. multilineatus,21.432
TABQ-19-XI-22_Xmul_53_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,29.994
TABQ-18-XI-22_Xmul_50_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,20.938
Xn1205-20,X. nezahualcoyotl,33.35
Xn1205-13,X. nezahualcoyotl,34.93
Xn1205-17,X. nezahualcoyotl,35.71
Xn1205-07,X. nezahualcoyotl,32.89
Xn1205-20,X. nezahualcoyotl,33.35
Xn1205-25,X. nezahualcoyotl,34.24
Xn1205-08,X. nezahualcoyotl,42.67
Xn1205-19,X. nezahualcoyotl,33.17
Xn1205-11,X. nezahualcoyotl,34.19
Xn1205-45,X. nezahualcoyotl,30.45
Xn1205-09,X. nezahualcoyotl,37.97
Xn1205-34,X. nezahualcoyotl,34.75
Xn1205-19,X. nezahualcoyotl,33.17
Xn1205-48,X. nezahualcoyotl,29.21
Xn1205-16,X. nezahualcoyotl,38.07
Xn1205-24,X. nezahualcoyotl,33.38
Xn1205-50,X. nezahualcoyotl,38.56
Xn1205-40,X. nezahualcoyotl,27.41
Xn1205-24,X. nezahualcoyotl,33.38
Xn1205-06,X. nezahualcoyotl,40.92
Xn1205-35,X. nezahualcoyotl,33.68
Xn1205-26,X. nezahualcoyotl,33.25
Xn1205-35,X. nezahualcoyotl,33.68
Xn1205-09,X. nezahualcoyotl,37.97
Xn1205-36,X. nezahualcoyotl,26.01
Xn1205-50,X. nezahualcoyotl,38.56
Xn1205-04,X. nezahualcoyotl,32.33
Xn1205-36,X. nezahualcoyotl,26.01
Xn1205-07,X. nezahualcoyotl,32.89
Xn1205-08,X. nezahualcoyotl,42.67
Xn1205-31,X. nezahualcoyotl,36.96
Xn1205-18,X. nezahualcoyotl,35.38
Xn1205-16,X. nezahualcoyotl,38.07
Xn1205-45,X. nezahualcoyotl,30.45
Xn1205-41,X. nezahualcoyotl,32.13
Xn1205-40,X. nezahualcoyotl,27.41
Xn1205-06,X. nezahualcoyotl,40.92
Xn1205-41,X. nezahualcoyotl,32.13
Xn1205-31,X. nezahualcoyotl,36.96
Xn1205-25,X. nezahualcoyotl,34.24
NARC-21-XI-22-20-M,X. nigrensis,18.3
NARC-21-XI-22-12-M,X. nigrensis,27.19
NARC-21-XI-22-32-M,X. nigrensis,19.56
NARC-21-XI-22-30-M,X. nigrensis,17.32
NARC-21-XI-22-11-M,X. nigrensis,32.49
NARC-16-XI-22-04-M,X. nigrensis,32.07
NARC-16-XI-22-08-M,X. nigrensis,25.69
NARC-16-XI-22-28-M,X. nigrensis,32.27
NARC-21-XI-22-37-M,X. nigrensis,19.92
NARC-16-XI-22-32-M,X. nigrensis,34.507
NARC-16-XI-22-26-M,X. nigrensis,30.88
NARC-21-XI-22-17-M,X. nigrensis,24.31
NARC-16-XI-22-18-M,X. nigrensis,32.68
NARC-16-XI-22-02-M,X. nigrensis,29.85
NARC-21-XI-22-34-M,X. nigrensis,22.94
NARC-16-XI-22-34-M,X. nigrensis,28.16
NARC-21-XI-22-14-M,X. nigrensis,29.21
NARC-16-XI-22-19-M,X. nigrensis,30.63
NARC-16-XI-22-22-M,X. nigrensis,31.93
NARC-16-XI-22-SNKR-05-M,X. nigrensis,24.427
NARC-16-XI-22-16-M,X. nigrensis,33.644
NARC-16-XI-22-20-M,X. nigrensis,32.65
NARC-16-XI-22-09-M,X. nigrensis,28.62
NARC-21-XI-22-27-M,X. nigrensis,15.87
NARC-21-XI-22-31-M,X. nigrensis,22.73
NARC-16-XI-22-11-M,X. nigrensis,29.252
NARC-21-XI-22-33-M,X. nigrensis,20.29
NARC-16-XI-22-03-M,X. nigrensis,32.78
